Country,DateTime,CarbonIntensity,UpdatedAt,CreatedAt,EmissionFactorType,IsEstimated,EstimationMethod
AU-NSW,2023-06-20T06:00:00.000Z,669,2023-06-20T07:54:16.757Z,2023-06-17T06:57:26.142Z,lifecycle,False,
AU-NSW,2023-06-20T07:00:00.000Z,622,2023-06-20T08:57:22.021Z,2023-06-17T07:54:49.029Z,lifecycle,False,
AU-NSW,2023-06-20T08:00:00.000Z,613,2023-06-20T09:56:24.113Z,2023-06-17T09:03:18.822Z,lifecycle,False,
AU-NSW,2023-06-20T09:00:00.000Z,641,2023-06-20T10:53:27.927Z,2023-06-17T09:57:39.820Z,lifecycle,False,
AU-NSW,2023-06-20T10:00:00.000Z,661,2023-06-20T11:53:09.688Z,2023-06-17T10:58:40.014Z,lifecycle,False,
AU-NSW,2023-06-20T11:00:00.000Z,691,2023-06-20T13:00:35.129Z,2023-06-17T11:57:06.837Z,lifecycle,False,
AU-NSW,2023-06-20T12:00:00.000Z,690,2023-06-20T13:00:39.941Z,2023-06-17T12:56:10.913Z,lifecycle,True,TIME_SLICER_AVERAGE
AU-NSW,2023-06-20T13:00:00.000Z,690,2023-06-20T13:00:39.941Z,2023-06-17T13:53:32.858Z,lifecycle,True,TIME_SLICER_AVERAGE
AU-QLD,2023-06-19T14:00:00.000Z,720,2023-06-19T15:56:55.359Z,2023-06-16T14:57:20.237Z,lifecycle,False,
AU-QLD,2023-06-19T15:00:00.000Z,715,2023-06-19T16:57:35.573Z,2023-06-16T15:56:02.481Z,lifecycle,False,
AU-QLD,2023-06-19T16:00:00.000Z,717,2023-06-19T17:53:00.813Z,2023-06-16T16:53:54.812Z,lifecycle,False,
AU-QLD,2023-06-19T17:00:00.000Z,714,2023-06-19T18:55:21.801Z,2023-06-16T17:55:25.504Z,lifecycle,False,
AU-QLD,2023-06-19T18:00:00.000Z,708,2023-06-19T19:52:07.395Z,2023-06-16T18:53:05.927Z,lifecycle,False,
AU-QLD,2023-06-19T19:00:00.000Z,707,2023-06-19T20:52:05.975Z,2023-06-16T19:58:34.694Z,lifecycle,False,
AU-QLD,2023-06-19T20:00:00.000Z,688,2023-06-19T21:52:37.819Z,2023-06-16T20:58:13.837Z,lifecycle,False,
AU-QLD,2023-06-19T21:00:00.000Z,646,2023-06-19T22:56:39.161Z,2023-06-16T21:52:52.954Z,lifecycle,False,
AU-QLD,2023-06-19T22:00:00.000Z,552,2023-06-19T23:57:34.145Z,2023-06-16T22:53:42.522Z,lifecycle,False,
AU-QLD,2023-06-19T23:00:00.000Z,479,2023-06-20T00:53:37.731Z,2023-06-16T23:57:19.971Z,lifecycle,False,
AU-QLD,2023-06-20T00:00:00.000Z,427,2023-06-20T01:54:01.440Z,2023-06-17T00:53:39.259Z,lifecycle,False,
AU-QLD,2023-06-20T01:00:00.000Z,400,2023-06-20T03:00:48.569Z,2023-06-17T02:01:41.637Z,lifecycle,False,
